표준코드,단축코드,한글 종목명,한글 종목약명,영문 종목명,상장일,시장구분,증권구분,소속부,주식종류,액면가,상장주식수
KR7006340004,6340,대원전선보통주,대원전선,DaewonCable,1988.5.4,KOSPI,주권,,보통주,500,71016967
KR7003220001,3220,대원제약보통주,대원제약,DaewonPharmaceutical,1999.12.15,KOSPI,주권,,보통주,500,21224823
KR7024890006,24890,대원화성보통주,대원화성,DaewonChemical,1997.10.28,KOSPI,주권,,보통주,500,41249152
KR7290380005,290380,대유,대유,"Dae Yu Co., Ltd.",2018.8.10,KOSDAQ,주권,중견기업부,보통주,500,14166600
KR7002880003,2880,대유에이텍,대유에이텍,"DAYOU AUTOMOTIVE SEAT TECHNOLOGY CO.,LTD",1977.2.18,KOSPI,주권,,보통주,500,111861577
KR7290120005,290120,대유에이피,대유에이피,"Dayou AP Co.,Ltd.",2018.12.7,KOSDAQ,주권,중견기업부,보통주,500,11433599
KR7000300004,300,대유플러스보통주,대유플러스,DAYOUPLUS,1975.6.9,KOSPI,주권,,보통주,500,120998774
KR7120240007,120240,대정화금,대정화금,"Daejung Chemicals & Metals Co., Ltd.",2010.12.20,KOSDAQ,주권,우량기업부,보통주,500,7190391
KR7003310000,3310,대주산업,대주산업,Daejoo Inc.,1992.8.1,KOSDAQ,주권,중견기업부,보통주,500,35392350
KR7114920002,114920,대주이엔티 주식회사,대주이엔티,"Daejoo Energy INnovation Technology Co.,Ltd",2013.7.1,KONEX,주권,일반기업부,보통주,500,3469500
KR7078600004,78600,대주전자재료,대주전자재료,"Daejoo Electronic Materials Co., Ltd.",2004.12.10,KOSDAQ,주권,벤처기업부,보통주,500,15480593
KR7015230006,15230,대창단조보통주,대창단조,DaechangForging,1989.7.25,KOSPI,주권,,보통주,1000,14286115
KR7012800009,12800,대창보통주,대창,DAECHANG,1989.12.5,KOSPI,주권,,보통주,500,91140499
KR7096350004,96350,대창솔루션,대창솔루션,"DAECHANG SOLUTION CO.,LTD.",2007.12.17,KOSDAQ,주권,중견기업부,보통주,100,163761009
KR7140520008,140520,대창스틸,대창스틸,"DaeChang Steel CO., LTD.",2014.12.5,KOSDAQ,주권,중견기업부,보통주,500,21109243
KR7131220006,131220,대한과학,대한과학,"DAIHAN SCIENTIFIC CO., Ltd",2011.10.11,KOSDAQ,주권,벤처기업부,보통주,500,7454490
KR7010170009,10170,대한광통신,대한광통신,"TAIHAN Fiberoptics Co.,LTD",1994.11.7,KOSDAQ,주권,중견기업부,보통주,500,73741625
KR7060900008,60900,대한그린파워,대한그린파워,Daehan Green Power Corporation,2002.9.17,KOSDAQ,주권,관리종목(소속부없음),보통주,100,172786805
KR7054670005,54670,대한뉴팜,대한뉴팜,"DAEHAN NEW PHARM CO., LTD.",2002.2.26,KOSDAQ,주권,중견기업부,보통주,500,14354920
KR7001070002,1070,대한방직보통주,대한방직,TaihanTextile,1973.12.28,KOSPI,주권,,보통주,1000,5300000
KR7023910003,23910,대한약품공업,대한약품,DaihanPharmaceutical,1994.11.23,KOSDAQ,주권,우량기업부,보통주,500,6000000
KR7006650006,6650,대한유화보통주,대한유화,KOREA PETRO CHEMICAL IND,1999.8.11,KOSPI,주권,,보통주,5000,6500000
KR7001440007,1440,대한전선보통주,대한전선,TaihanElectricWire,1968.12.27,KOSPI,주권,,보통주,500,856473009
KR7084010008,84010,대한제강 보통주,대한제강,Daehan Steel Co. Ltd.,2005.10.31,KOSPI,주권,,보통주,1000,24646734
KR7001791003,1795,대한제당1우선주,대한제당우,TS(1P),1995.1.21,KOSPI,주권,,구형우선주,500,6482760
KR7001790005,1790,대한제당보통주,대한제당,TS,1968.12.27,KOSPI,주권,,보통주,500,89696580
KR7001130004,1130,대한제분보통주,대한제분,DaehanFlourMill,1970.11.25,KOSPI,주권,,보통주,5000,1690000
KR7003491008,3495,대한항공1우선주,대한항공우,KoreanAirLines(1P),1990.3.31,KOSPI,주권,,구형우선주,5000,1110794
KR7003490000,3490,대한항공보통주,대한항공,KoreanAirLines,1966.3.18,KOSPI,주권,,보통주,5000,347820825
KR7005880000,5880,대한해운보통주,대한해운,KoreaLine,1992.4.23,KOSPI,주권,,보통주,500,319177460
KR7003830007,3830,대한화섬보통주,대한화섬,DaehanSyntheticFibrer,1985.12.23,KOSPI,주권,,보통주,5000,1328000
KR7016090003,16090,대현보통주,대현,Daehyun,1990.9.20,KOSPI,주권,,보통주,500,44282310
KR7069460004,69460,대호에이엘보통주,대호에이엘,DAEHOAL,2002.11.11,KOSPI,주권,,보통주,500,49475821
KR7021040001,21040,대호특수강,대호특수강,dhSteel,1996.8.27,KOSDAQ,주권,중견기업부,보통주,500,75398540
KR7021041009,21045,대호특수강1우선주,대호특수강우,dhSteel(1P),2001.9.13,KOSDAQ,주권,중견기업부,신형우선주,500,4242466
KR7067080002,67080,대화제약,대화제약,"DAE HWA PHARM CO., LTD",2003.2.14,KOSDAQ,주권,우량기업부,보통주,500,18616650
KR7161570007,161570,더 미동,THE MIDONG,"THE MIDONG Co,. Ltd",2013.11.13,KOSDAQ,주권,중견기업부,보통주,500,15582830
KR7298540006,298540,더네이쳐홀딩스,더네이쳐홀딩스,"THE NATURE HOLDINGS CO., LTD",2020.7.27,KOSDAQ,주권,우량기업부,보통주,500,14544656
KR7192080000,192080,더블유게임즈보통주,더블유게임즈,DoubleUGames,2019.3.12,KOSPI,주권,,보통주,500,18374502
KR7073570004,73570,더블유아이,WI,"WI Co.,Ltd.",2004.1.6,KOSDAQ,주권,중견기업부,보통주,100,80904873
KR7299170001,299170,더블유에스아이,더블유에스아이,"WSI Co., Ltd.",2018.9.21,KOSDAQ,주권,중견기업부,보통주,100,29237963
KR7192410009,192410,더에이치큐,THQ,The HQ,2014.8.14,KOSDAQ,주권,중견기업부,보통주,500,28929899
KR7089230007,89230,더이앤엠,THE E&M,"THE E&M Co., Ltd.",2006.10.10,KOSDAQ,주권,중견기업부,보통주,100,173450191
